student_id,event_date,activity_type,participation_score,notes
S1274,2024-11-30,club,3,note
S1276,2025-03-24,club,2,note
S1276,2024-10-07,club,5,note
S1277,2025-07-26,club,3,note
S1278,2024-11-24,club,2,note
S1280,2025-03-09,club,4,note
S1281,2024-10-10,club,1,note
S1282,2024-12-29,club,4,note
S1282,2025-06-25,club,5,note
S1283,2025-08-09,club,1,note
S1291,2025-02-02,club,5,note
S1292,2025-06-03,club,5,note
S1292,2025-05-30,club,1,note
S1293,2025-07-05,club,2,note
S1293,2025-07-31,club,4,note
S1298,2025-03-18,club,3,note
S1298,2025-07-07,club,3,note
S1298,2025-04-26,club,4,note
S1300,2025-06-07,club,2,note
S1301,2025-01-14,club,1,note
S1301,2025-09-10,club,5,note
S1302,2024-11-07,club,2,note
S1302,2024-08-16,club,1,note
S1304,2025-04-09,club,3,note
S1305,2024-08-09,club,4,note
S1306,2024-09-17,club,2,note
S1308,2025-03-17,club,3,note
S1308,2025-01-08,club,4,note
S1310,2025-09-07,club,3,note
S1310,2025-08-07,club,3,note
S1311,2024-12-09,club,5,note
S1312,2024-11-30,club,2,note
S1314,2025-06-16,club,4,note
S1314,2024-11-26,club,4,note
S1316,2025-05-09,club,3,note
S1316,2025-03-30,club,2,note
S1317,2025-03-10,club,1,note
S1318,2025-06-02,club,2,note
S1319,2025-09-02,club,2,note
S1321,2024-09-05,club,2,note
S1321,2025-02-11,club,3,note
S1322,2024-11-04,club,4,note
S1324,2025-03-14,club,4,note
S1326,2024-08-30,club,4,note
S1328,2025-06-02,club,3,note
S1328,2024-08-25,club,2,note
S1329,2025-06-24,club,5,note
S1331,2025-01-26,club,4,note
S1331,2024-09-26,club,1,note
S1334,2024-10-15,club,5,note
S1338,2025-07-05,club,1,note
S1340,2024-10-18,club,1,note
S1341,2024-11-30,club,1,note
S1343,2025-05-25,club,3,note
S1343,2024-08-10,club,1,note
S1345,2024-12-21,club,1,note
S1347,2025-01-25,club,5,note
S1351,2024-09-10,club,2,note
S1351,2025-02-17,club,4,note
S1351,2025-04-12,club,4,note
S1351,2024-09-22,club,5,note
S1352,2025-04-18,club,1,note
S1353,2025-03-31,club,4,note
S1354,2025-02-09,club,3,note
S1355,2024-12-20,club,4,note
S1356,2025-07-02,club,1,note
S1356,2024-08-11,club,1,note
S1357,2025-08-14,club,5,note
S1357,2025-03-27,club,5,note
S1358,2025-06-04,club,5,note
S1359,2025-04-18,club,1,note
S1360,2024-12-12,club,5,note
S1363,2025-06-19,club,3,note
S1364,2024-12-18,club,1,note
S1364,2025-02-04,club,2,note
S1366,2024-12-01,club,4,note
S1366,2025-03-16,club,4,note
S1366,2024-10-05,club,5,note
S1367,2025-08-09,club,3,note
S1368,2025-01-12,club,5,note
S1369,2025-07-21,club,1,note
S1369,2025-01-25,club,3,note
S1371,2025-01-14,club,2,note
S1372,2025-01-30,club,3,note
S1377,2025-02-22,club,1,note
S1379,2024-09-24,club,2,note
S1379,2025-04-14,club,1,note
S1379,2025-02-01,club,3,note
S1379,2025-08-25,club,3,note
S1380,2025-04-04,club,3,note
S1381,2024-09-02,club,2,note
S1382,2025-08-25,club,2,note
S1383,2025-03-19,club,4,note
S1385,2024-12-19,club,3,note
S1387,2025-08-29,club,3,note
S1387,2025-07-29,club,2,note
S1388,2024-11-23,club,3,note
S1388,2025-07-27,club,5,note
S1389,2024-10-15,club,3,note
S1390,2025-06-22,club,3,note
S1391,2025-06-28,club,3,note
S1392,2024-10-11,club,4,note
S1393,2024-10-13,club,1,note
S1394,2025-07-06,club,4,note
S1394,2024-09-18,club,1,note
S1395,2025-06-06,club,2,note
S1395,2025-07-02,club,3,note
S1396,2024-12-24,club,3,note
S1400,2025-06-06,club,1,note
S1400,2024-09-16,club,4,note
S1400,2025-07-03,club,2,note
S1400,2024-11-07,club,4,note
S1403,2024-08-28,club,5,note
S1403,2024-12-03,club,3,note
S1404,2024-12-07,club,2,note
S1404,2024-11-06,club,4,note
S1404,2025-08-13,club,3,note
S1406,2024-08-20,club,5,note
S1406,2025-02-21,club,1,note
S1408,2025-02-13,club,4,note
S1408,2024-09-01,club,2,note
S1408,2025-06-09,club,4,note
S1409,2024-09-25,club,4,note
S1411,2024-11-12,club,2,note
S1412,2024-12-23,club,3,note
S1414,2024-11-19,club,1,note
S1416,2025-03-25,club,2,note
S1418,2025-07-12,club,4,note
S1418,2025-07-24,club,5,note
S1418,2025-02-05,club,4,note
S1419,2025-02-05,club,4,note
S1419,2025-03-07,club,2,note
S1422,2024-09-12,club,3,note
S1423,2025-08-05,club,2,note
S1424,2025-08-16,club,4,note
S1428,2024-10-07,club,5,note
S1428,2024-09-03,club,3,note
S1428,2024-10-20,club,2,note
S1429,2024-09-29,club,3,note
S1429,2024-09-10,club,5,note
S1430,2024-09-08,club,5,note
S1430,2025-07-14,club,2,note
S1430,2025-01-25,club,4,note
S1433,2024-10-29,club,2,note
S1433,2025-06-25,club,5,note
S1433,2025-01-30,club,5,note
S1434,2025-08-04,club,3,note
S1436,2025-08-20,club,2,note
S1439,2025-08-21,club,5,note
S1439,2025-05-01,club,1,note
S1441,2024-11-20,club,3,note
S1441,2024-12-03,club,4,note
S1442,2025-08-24,club,1,note
S1442,2025-07-07,club,5,note
S1444,2025-08-12,club,1,note
S1446,2025-03-22,club,2,note
S1450,2025-08-25,club,5,note
S1450,2025-01-04,club,4,note
S1450,2025-03-28,club,5,note
S1450,2024-11-10,club,1,note
S1455,2024-11-03,club,3,note
S1456,2025-06-19,club,2,note
S1457,2024-10-15,club,5,note
S1457,2025-04-26,club,4,note
S1459,2024-10-15,club,4,note
S1462,2025-01-30,club,5,note
S1464,2025-03-17,club,1,note
S1465,2025-04-25,club,5,note
S1468,2024-08-29,club,2,note
S1469,2025-06-07,club,2,note
S1470,2025-04-14,club,3,note
S1470,2025-02-16,club,4,note
S1470,2024-11-07,club,1,note
S1471,2025-07-24,club,2,note
S1471,2025-02-19,club,1,note
S1473,2025-04-30,club,3,note
S1474,2025-09-03,club,3,note
S1475,2024-11-17,club,4,note
S1476,2025-06-13,club,2,note
S1477,2025-08-15,club,4,note
S1478,2025-07-25,club,3,note
S1480,2024-12-04,club,4,note
S1482,2025-02-23,club,4,note
S1483,2025-04-19,club,5,note
S1483,2025-02-25,club,5,note
S1484,2024-11-26,club,1,note
S1486,2025-03-05,club,1,note
S1488,2025-05-10,club,2,note
S1491,2025-01-24,club,1,note
S1492,2025-08-21,club,5,note
S1494,2025-05-28,club,1,note
S1494,2025-08-25,club,1,note
S1495,2024-10-16,club,2,note
S1497,2025-01-06,club,1,note
S1501,2025-01-13,club,1,note
S1501,2024-10-21,club,3,note
S1502,2025-02-15,club,5,note
S1506,2024-12-23,club,2,note
S1507,2025-01-01,club,5,note
S1507,2025-05-25,club,3,note
S1508,2025-01-05,club,5,note
S1508,2024-10-26,club,1,note
S1508,2024-08-22,club,4,note
S1509,2024-08-23,club,1,note
S1509,2025-04-26,club,2,note
S1509,2025-06-30,club,3,note
S1510,2024-09-11,club,4,note
S1511,2025-05-03,club,1,note
S1512,2024-12-06,club,2,note
S1518,2024-09-26,club,1,note
S1520,2025-03-10,club,4,note
S1520,2024-09-15,club,1,note
S1520,2025-02-01,club,3,note
S1521,2025-02-12,club,1,note
S1522,2025-03-30,club,4,note
S1522,2025-08-16,club,4,note
S1523,2024-12-18,club,4,note
S1525,2024-09-07,club,1,note
S1528,2025-05-21,club,2,note
S1528,2025-06-06,club,4,note
S1528,2024-11-30,club,2,note
S1529,2025-01-24,club,5,note
S1530,2024-11-09,club,4,note
S1530,2025-05-29,club,1,note
S1530,2025-05-01,club,2,note
S1531,2025-07-27,club,4,note
S1531,2025-02-02,club,5,note
S1531,2024-08-30,club,5,note
S1532,2024-10-19,club,2,note
S1533,2024-11-22,club,4,note
S1534,2025-03-22,club,3,note
S1535,2025-08-21,club,1,note
S1537,2025-03-24,club,5,note
S1540,2024-10-27,club,3,note
S1541,2024-09-27,club,3,note
S1542,2025-07-23,club,4,note
S1543,2025-08-24,club,3,note
S1543,2025-06-24,club,2,note
S1543,2025-06-13,club,1,note
S1545,2024-08-22,club,5,note
S1546,2024-11-17,club,5,note
S1546,2025-05-20,club,3,note
S1547,2025-02-08,club,1,note
S1548,2025-01-06,club,5,note
S1548,2024-08-24,club,5,note
S1549,2025-03-27,club,1,note
S1550,2025-02-04,club,5,note
S1550,2025-09-07,club,1,note
S1551,2024-09-25,club,3,note
S1551,2024-09-05,club,2,note
S1552,2025-04-20,club,5,note
S1552,2025-06-03,club,2,note
S1553,2025-01-20,club,3,note
S1554,2024-12-23,club,4,note
S1554,2025-03-03,club,5,note
S1556,2025-05-11,club,3,note
S1556,2025-02-07,club,3,note
S1557,2025-01-29,club,1,note
S1557,2025-08-07,club,1,note
S1558,2024-08-31,club,5,note
S1559,2025-01-24,club,2,note
S1559,2025-04-10,club,5,note
S1560,2024-09-06,club,1,note
S1565,2025-05-31,club,2,note
S1567,2024-11-23,club,1,note
S1568,2025-01-30,club,4,note
S1569,2025-04-17,club,3,note
S1570,2025-04-03,club,5,note
S1572,2024-08-22,club,3,note
S1573,2025-06-12,club,3,note
S1577,2024-10-31,club,1,note
S1577,2024-08-23,club,4,note
S1577,2025-01-30,club,5,note
S1578,2025-08-31,club,3,note
S1578,2025-01-21,club,3,note
S1580,2025-07-10,club,5,note
S1580,2024-11-30,club,3,note
S1580,2025-04-07,club,4,note
S1580,2024-08-12,club,3,note
S1581,2025-08-25,club,5,note
S1581,2024-08-20,club,3,note
S1581,2024-11-20,club,5,note
S1581,2025-02-03,club,2,note
S1583,2025-06-24,club,3,note
S1583,2024-09-30,club,2,note
S1583,2024-11-22,club,3,note
S1584,2025-06-08,club,3,note
S1585,2025-01-06,club,5,note
S1588,2024-11-23,club,3,note
S1588,2025-04-13,club,3,note
S1589,2025-08-25,club,3,note
S1589,2024-09-06,club,1,note
S1589,2025-05-03,club,3,note
S1592,2025-02-02,club,4,note
S1593,2025-01-21,club,2,note
S1594,2024-10-24,club,3,note
S1596,2025-09-06,club,5,note
S1601,2024-10-27,club,1,note
S1601,2025-03-11,club,4,note
S1602,2024-08-13,club,4,note
S1603,2024-10-02,club,3,note
S1603,2025-02-19,club,1,note
S1605,2025-06-05,club,5,note
S1605,2025-03-13,club,1,note
S1608,2024-12-11,club,1,note
S1608,2025-08-12,club,5,note
S1609,2025-03-20,club,4,note
S1613,2024-10-29,club,3,note
S1614,2025-05-29,club,4,note
S1615,2024-08-19,club,4,note
S1616,2025-08-08,club,4,note
S1617,2025-06-06,club,1,note
S1617,2024-08-30,club,2,note
S1618,2025-08-11,club,5,note
S1618,2025-07-09,club,1,note
S1619,2024-08-28,club,3,note
S1619,2025-03-02,club,2,note
S1619,2025-01-23,club,4,note
S1621,2025-05-12,club,2,note
S1623,2025-03-31,club,2,note
S1623,2025-08-16,club,2,note
S1627,2025-04-12,club,2,note
S1627,2025-06-24,club,2,note
S1627,2024-10-16,club,5,note
S1628,2024-10-12,club,5,note
S1628,2025-05-02,club,2,note
S1628,2025-08-17,club,3,note
S1628,2024-09-02,club,2,note
S1629,2025-05-22,club,5,note
S1631,2025-08-20,club,2,note
S1633,2025-06-04,club,2,note
S1634,2025-01-16,club,5,note
S1635,2025-08-18,club,4,note
S1635,2025-07-03,club,1,note
S1636,2025-04-16,club,3,note
S1636,2025-02-16,club,1,note
S1636,2025-03-09,club,2,note
S1636,2024-08-22,club,4,note
S1637,2024-10-16,club,3,note
S1638,2025-08-24,club,3,note
S1640,2025-02-24,club,5,note
S1640,2024-11-10,club,1,note
S1640,2025-03-19,club,2,note
S1641,2025-03-11,club,1,note
S1641,2024-12-15,club,2,note
S1642,2025-08-28,club,2,note
S1646,2025-02-09,club,1,note
S1648,2025-07-10,club,2,note
S1651,2025-07-13,club,1,note
S1656,2025-01-22,club,4,note
S1657,2024-08-21,club,5,note
S1659,2025-07-22,club,1,note
S1660,2025-04-03,club,1,note
S1661,2025-06-22,club,5,note
S1662,2025-01-28,club,3,note
S1664,2025-07-03,club,5,note
S1664,2025-01-01,club,2,note
S1668,2025-08-26,club,4,note
S1670,2025-06-05,club,1,note
S1671,2025-01-15,club,4,note
S1672,2025-05-14,club,1,note
S1673,2025-02-06,club,5,note
S1674,2025-04-25,club,3,note
S1676,2025-07-21,club,3,note
S1678,2025-08-21,club,1,note
S1681,2025-01-25,club,2,note
S1683,2024-09-14,club,1,note
S1685,2025-04-19,club,1,note
S1686,2025-02-14,club,1,note
S1688,2024-11-29,club,1,note
S1689,2025-02-08,club,1,note
S1690,2025-05-21,club,3,note
S1692,2025-07-02,club,3,note
S1696,2025-05-03,club,5,note
S1698,2025-04-11,club,1,note
S1699,2024-10-16,club,3,note
S1699,2025-07-31,club,5,note
S1700,2024-12-14,club,1,note
S1700,2025-02-24,club,4,note
S1701,2024-09-18,club,5,note
S1701,2024-11-12,club,2,note
S1702,2024-12-19,club,4,note
S1703,2025-01-25,club,1,note
S1704,2024-11-30,club,5,note
S1706,2024-10-27,club,2,note
S1706,2025-07-08,club,3,note
S1708,2025-05-01,club,3,note
S1708,2025-01-28,club,2,note
S1709,2024-10-02,club,5,note
S1709,2024-11-29,club,3,note
S1709,2025-08-27,club,3,note
S1709,2025-06-12,club,1,note
S1710,2024-08-23,club,3,note
S1711,2025-09-03,club,4,note
S1711,2025-08-22,club,1,note
S1713,2025-06-15,club,2,note
S1715,2025-05-12,club,1,note
S1716,2025-03-27,club,1,note
S1719,2025-01-19,club,5,note
S1720,2025-03-07,club,1,note
S1720,2025-01-20,club,3,note
S1720,2025-03-16,club,4,note
S1722,2025-06-21,club,1,note
S1724,2025-06-04,club,1,note
S1724,2024-11-16,club,4,note
S1725,2025-05-17,club,5,note
S1727,2025-09-04,club,2,note
S1727,2024-09-19,club,4,note
S1727,2024-08-18,club,2,note
S1727,2024-09-04,club,5,note
S1727,2025-01-15,club,4,note
S1727,2025-03-31,club,4,note
S1729,2024-11-18,club,2,note
S1730,2025-03-05,club,5,note
S1734,2024-11-13,club,4,note
S1734,2025-04-04,club,1,note
S1735,2024-11-02,club,3,note
S1738,2024-10-02,club,4,note
S1739,2025-06-16,club,5,note
S1740,2024-09-22,club,5,note
S1740,2024-09-20,club,3,note
S1745,2024-09-02,club,1,note
S1746,2024-10-29,club,3,note
S1750,2024-10-28,club,4,note
S1751,2024-08-17,club,5,note
S1751,2024-12-25,club,2,note
S1753,2024-11-12,club,2,note
S1756,2024-10-23,club,2,note
S1756,2025-08-30,club,2,note
S1759,2025-05-12,club,1,note
S1760,2024-09-14,club,1,note
S1760,2025-03-04,club,3,note
S1762,2024-09-22,club,2,note
S1762,2025-07-11,club,5,note
S1763,2025-03-18,club,5,note
S1763,2025-03-14,club,4,note
S1765,2025-02-01,club,2,note
S1765,2025-02-05,club,5,note
S1766,2024-12-22,club,4,note
S1767,2025-01-27,club,2,note
S1768,2025-01-12,club,5,note
S1768,2025-08-12,club,1,note
S1768,2025-06-06,club,4,note
S1768,2024-09-07,club,2,note
S1770,2024-10-17,club,1,note
S1771,2025-01-13,club,1,note
S1773,2025-03-06,club,5,note
S1777,2024-10-25,club,3,note
S1777,2025-02-26,club,5,note
S1778,2024-10-12,club,2,note
S1778,2025-08-18,club,5,note
S1778,2025-07-01,club,4,note
S1779,2025-01-23,club,1,note
S1779,2024-08-31,club,4,note
S1779,2024-12-04,club,5,note
S1781,2024-09-29,club,3,note
S1782,2025-01-05,club,1,note
S1782,2025-02-06,club,3,note
S1783,2024-09-24,club,4,note
S1783,2024-10-29,club,3,note
S1785,2025-03-30,club,3,note
S1786,2024-08-22,club,1,note
S1788,2024-08-20,club,5,note
S1788,2024-10-15,club,3,note
S1788,2024-10-03,club,5,note
S1789,2025-07-08,club,4,note
S1791,2025-07-13,club,1,note
S1791,2025-01-25,club,4,note
S1791,2024-11-23,club,1,note
S1794,2025-08-06,club,2,note
S1797,2025-05-30,club,1,note
S1799,2024-12-25,club,1,note
S1799,2024-08-22,club,4,note
S1800,2025-01-31,club,5,note
S1801,2025-05-29,club,5,note
S1802,2024-09-24,club,4,note
S1803,2025-07-28,club,1,note
S1803,2024-08-28,club,1,note
S1803,2024-11-07,club,1,note
S1804,2025-08-05,club,5,note
S1807,2025-01-16,club,3,note
S1808,2025-03-06,club,3,note
S1809,2025-06-01,club,3,note
S1809,2025-05-03,club,2,note
S1811,2025-01-12,club,5,note
S1814,2025-08-01,club,3,note
S1815,2024-12-07,club,1,note
S1816,2024-09-14,club,2,note
S1819,2025-06-13,club,1,note
S1820,2025-02-28,club,2,note
S1821,2025-06-18,club,3,note
S1826,2024-10-08,club,2,note
S1826,2025-06-18,club,5,note
S1827,2025-08-08,club,1,note
S1829,2025-03-14,club,2,note
S1829,2024-12-01,club,3,note
S1829,2025-06-22,club,3,note
S1830,2025-06-23,club,3,note
S1831,2025-04-19,club,2,note
S1831,2024-10-11,club,3,note
S1831,2025-09-03,club,4,note
S1832,2025-01-12,club,1,note
S1832,2025-08-07,club,2,note
S1833,2025-06-16,club,4,note
S1834,2025-05-09,club,1,note
S1834,2024-11-04,club,5,note
S1834,2024-11-26,club,5,note
S1835,2025-01-19,club,3,note
S1836,2025-08-22,club,2,note
S1837,2025-08-07,club,1,note
S1837,2025-04-26,club,1,note
S1838,2024-12-28,club,1,note
S1838,2024-12-17,club,3,note
S1840,2025-03-30,club,3,note
S1840,2025-09-10,club,4,note
S1841,2025-05-02,club,1,note
S1842,2025-06-27,club,3,note
S1842,2025-04-16,club,5,note
S1844,2024-09-29,club,4,note
S1845,2024-08-20,club,1,note
S1845,2025-08-01,club,5,note
S1847,2025-08-06,club,2,note
S1847,2025-05-17,club,4,note
S1848,2025-06-04,club,5,note
S1848,2025-03-11,club,3,note
S1850,2025-01-03,club,3,note
S1851,2025-04-07,club,5,note
S1851,2025-06-27,club,2,note
S1852,2025-08-31,club,5,note
S1853,2025-01-12,club,4,note
S1854,2024-10-29,club,4,note
S1855,2025-07-28,club,1,note
S1855,2025-08-28,club,1,note
S1856,2024-12-25,club,2,note
S1856,2025-03-15,club,3,note
S1856,2025-08-02,club,3,note
S1859,2025-05-28,club,3,note
S1859,2025-05-01,club,3,note
S1861,2024-12-22,club,1,note
